# U   kappa   energy   sem
1.0 0.5061826515197754 -15.178216091004717 0.0009049648311374515
2.0 0.5063512409105895 -12.85666079817491 0.0006901906069414139
3.0 0.5177587890624991 -10.525623459258657 0.0006403338054468112
4.0 0.6364141376109385 -8.340693956082529 0.0007690892769553756
5.0 0.9784872458688779 -6.462824546314426 0.001003043738710702
6.0 1.3304922103881835 -4.859055095577707 0.0012139327837704117
7.0 2.117792429157715 -3.0839887880802572 0.0015837352500544626
8.0 3.0025 -1.5389621966822102 0.0017688727897786141
9.0 3.0025 -1.45619369668221 0.001733689461661842
10.0 3.0025 -1.37342519668221 0.0017035112852063336
