# L=8, N=16, T=1.0, sym gs
#          U         Eg          K          V                 S₁(ℓ=4)              S₁acc(ℓ=4)                 S₂(ℓ=4)              S₂acc(ℓ=4)                 EN(ℓ=4)              ENacc(ℓ=4)
    1.000000     -1.896264513269E+01     -3.096025012446E+01      1.199760499176E+01      1.755301834308E+00      9.029168250585E-02      1.547264223440E+00      3.495837039286E-02      2.142077103010E+00      2.871818769213E-01
    2.000000     -7.483960014780E+00     -2.961538783551E+01      2.213142782073E+01      1.619674098593E+00      1.116901355307E-01      1.397617269828E+00      4.509984121353E-02      2.041769639709E+00      3.355377581134E-01
    3.000000      3.297705757303E+00     -2.831547178312E+01      3.161317754042E+01      1.524608322421E+00      1.209542916653E-01      1.294680586397E+00      4.956756725100E-02      1.966905849338E+00      3.576139008918E-01
    4.000000      1.364661509205E+01     -2.706921650996E+01      4.071583160200E+01      1.448258913467E+00      1.267700209118E-01      1.210085492164E+00      5.240661804967E-02      1.906884123853E+00      3.719974557585E-01
    5.000000      2.368271552966E+01     -2.583136165172E+01      4.951407718138E+01      1.380072668961E+00      1.318720015787E-01      1.129494202940E+00      5.508708911149E-02      1.855221108713E+00      3.834282437217E-01
    6.000000      3.346610982468E+01     -2.454714574226E+01      5.801325556694E+01      1.312509422591E+00      1.373365962426E-01      1.042634850540E+00      5.851049721840E-02      1.806461016076E+00      3.924499942832E-01
    7.000000      4.302762656619E+01     -2.316998760063E+01      6.619761416683E+01      1.238861909955E+00      1.428739618238E-01      9.424016161467E-01      6.311107340230E-02      1.755012868588E+00      3.971339854671E-01
    8.000000      5.238416198086E+01     -2.168283112418E+01      7.406699310503E+01      1.153829547975E+00      1.467505701068E-01      8.274957495192E-01      6.852328625982E-02      1.695580379982E+00      3.942523487154E-01
    9.000000      6.154907266826E+01     -2.011872155557E+01      8.166779422383E+01      1.056173754750E+00      1.466250433990E-01      7.048482786241E-01      7.348543650271E-02      1.625064759150E+00      3.813011441178E-01
   10.000000      7.053904869722E+01     -1.855545791666E+01      8.909450661388E+01      9.505106643459E-01      1.412392302103E-01      5.866724874144E-01      7.645893489235E-02      1.544348739798E+00      3.584959331154E-01
