# U   kappa   energy   sem   mu
1.0 0.32854121267176106 -8.557830929504702 0.0005174765438993813 0.9804560003935932
2.0 0.32854121267176106 -4.044409205265328 0.0011187386703402896 0.9801952199429528
3.0 0.32854121267176106 0.4653002037333233 0.002245703456512326 0.9801952199429528
4.0 0.32854121267176106 4.9750096127319745 0.003412044886178688 0.9801952199429528
5.0 0.32854121267176106 9.484719021730626 0.004587829016499519 0.9801952199429528
6.0 0.32854121267176106 13.994428430729279 0.005767283446528515 0.9801952199429528
7.0 0.32854121267176106 18.504137839727928 0.0069485394227275414 0.9801952199429528
8.0 0.32854121267176106 23.01384724872658 0.008130811789386459 0.9801952199429528
9.0 0.32854121267176106 27.523556657725234 0.009313713496145506 0.9801952199429528
10.0 0.32854121267176106 32.03326606672389 0.010497031785736867 0.9801952199429528
