# U   kappa   energy   sem   mu
1.0 0.43001834069255196 -8.885412268050649 0.0007728803610468568 0.9984012434524205
2.0 0.43002439614700433 -5.837119419408489 0.0007817572907165429 0.9983382931306278
3.0 0.4300122852380996 -2.7970032789335333 0.0016166547786536048 0.9984936391313491
4.0 0.43001834069255196 0.26117735320999763 0.0025620132738020927 0.9986324693995071
5.0 0.43001834069255196 3.2759866070428236 0.00355269490073162 0.9981445021768138
6.0 0.43001834069255196 6.313675799392737 0.004539573069025555 0.9981445021768138
7.0 0.43001834069255196 9.351364991742651 0.005530408600391185 0.9981445021768138
8.0 0.43001834069255196 12.389054184092563 0.006523398498670806 0.9981445021768138
9.0 0.43001834069255196 15.426743376442474 0.007517689119973058 0.9981445021768138
10.0 0.43001834069255196 18.46443256879239 0.008512824706499196 0.9981445021768138
