# U   kappa   energy   sem
1.0 2.989803008001278 -112.08573167109407 0.10275202578077262
2.0 2.989803008001278 -111.99979379609405 0.10268420805786084
3.0 2.989803008001278 -111.91385592109405 0.10261644412308746
4.0 2.989803008001278 -111.82791804609406 0.1025487340830817
5.0 2.989803008001278 -111.74198017109406 0.10248107804466965
6.0 2.989803008001278 -111.65604229609406 0.10241347611487418
7.0 2.989803008001278 -111.57010442109406 0.10234592840091565
8.0 2.989803008001278 -111.48416654609406 0.10227843501021108
9.0 2.989803008001278 -111.39822867109406 0.10221099605037506
10.0 2.989803008001278 -111.31229079609406 0.1021436116292194
