# U   kappa   energy   sem
1.0 1.5123541315146278 -25.867235121312458 0.0038227672363523642
2.0 1.5123541315146278 -24.21673137131246 0.0035633227122722753
3.0 1.5034614954537027 -22.636015697951606 0.0032986041736692904
4.0 1.8299434517850097 -18.23465307964185 0.0036287085913225695
5.0 1.865580817449474 -16.730492036847455 0.0034532198003570827
6.0 1.9561569681653315 -14.876466732887513 0.0033808987025516547
7.0 1.9561569681653315 -13.821683088049692 0.0031942699677066323
8.0 2.2152431742576186 -11.22164784609378 0.003272518307258763
9.0 2.4469795889035697 -9.117654678589625 0.003384873746861386
10.0 2.6352861720936236 -7.570939028952799 0.003477889095766045
