# U   step   mu   N_avg
7.0 5500 0.9801952199429528 12.995658446703517
7.0 6000 0.9801952199429528 12.95736236830637
7.0 6500 0.9801952199429528 12.959748092366132
7.0 7000 0.9801952199429528 12.93278740367171
7.0 7500 0.9801952199429528 13.007601750867773
7.0 8000 0.9801952199429528 12.926626308639015
7.0 8500 0.9801952199429528 12.959753147305214
7.0 9000 0.9801952199429528 13.014609967822096
7.0 9500 0.9801952199429528 12.977443659110136
7.0 10000 0.9801952199429528 12.928627597329033
8.0 2500 0.9801952199429528 12.985611917656922
8.0 3000 0.9801952199429528 12.999105912653004
8.0 3500 0.9801952199429528 12.961253739697092
8.0 4000 0.9801952199429528 12.94327870271422
8.0 4500 0.9801952199429528 12.937672390187867
8.0 5000 0.9801952199429528 12.971272202464478
8.0 5500 0.9801952199429528 12.995658446703517
8.0 6000 0.9801952199429528 12.95736236830637
8.0 6500 0.9801952199429528 12.959748092366132
8.0 7000 0.9801952199429528 12.93278740367171
8.0 7500 0.9801952199429528 13.007601750867773
8.0 8000 0.9801952199429528 12.926626308639015
8.0 8500 0.9801952199429528 12.959753147305214
8.0 9000 0.9801952199429528 13.014609967822096
8.0 9500 0.9801952199429528 12.977443659110136
8.0 10000 0.9801952199429528 12.928627597329033
9.0 2500 0.9801952199429528 12.985611917656922
9.0 3000 0.9801952199429528 12.999105912653004
9.0 3500 0.9801952199429528 12.961253739697092
9.0 4000 0.9801952199429528 12.94327870271422
9.0 4500 0.9801952199429528 12.937672390187867
9.0 5000 0.9801952199429528 12.971272202464478
9.0 5500 0.9801952199429528 12.995658446703517
9.0 6000 0.9801952199429528 12.95736236830637
9.0 6500 0.9801952199429528 12.959748092366132
9.0 7000 0.9801952199429528 12.93278740367171
9.0 7500 0.9801952199429528 13.007601750867773
9.0 8000 0.9801952199429528 12.926626308639015
9.0 8500 0.9801952199429528 12.959753147305214
9.0 9000 0.9801952199429528 13.014609967822096
9.0 9500 0.9801952199429528 12.977443659110136
9.0 10000 0.9801952199429528 12.928627597329033
10.0 2500 0.9801952199429528 12.985611917656922
10.0 3000 0.9801952199429528 12.999105912653004
10.0 3500 0.9801952199429528 12.961253739697092
10.0 4000 0.9801952199429528 12.94327870271422
10.0 4500 0.9801952199429528 12.937672390187867
10.0 5000 0.9801952199429528 12.971272202464478
10.0 5500 0.9801952199429528 12.995658446703517
10.0 6000 0.9801952199429528 12.95736236830637
10.0 6500 0.9801952199429528 12.959748092366132
10.0 7000 0.9801952199429528 12.93278740367171
10.0 7500 0.9801952199429528 13.007601750867773
10.0 8000 0.9801952199429528 12.926626308639015
10.0 8500 0.9801952199429528 12.959753147305214
10.0 9000 0.9801952199429528 13.014609967822096
10.0 9500 0.9801952199429528 12.977443659110136
10.0 10000 0.9801952199429528 12.928627597329033
