# U   kappa   energy   sem
1.0 1.525 -2.539864320868835 0.0009708134279204444
2.0 1.525 -2.3616118208688355 0.0008507230231111117
3.0 1.525 -2.182608153758555 0.0007368258350686952
4.0 1.525 -2.004578028758555 0.0006317855731405043
5.0 2.309288137399885 -1.1666402148343968 0.0009468334365626812
6.0 1.933211378850507 -1.4260980218534034 0.000701794913025474
7.0 2.6407643858972194 -0.8347632939922257 0.0009228954176281641
8.0 2.6407643858972194 -0.8127309189922257 0.0008833083340710055
9.0 2.6697471480768757 -0.7807029133744787 0.0008690777643463408
10.0 2.6697471480768757 -0.7574925043842485 0.0008261678330971444
