# U   kappa   energy   sem
1.0 0.16991165997859714 -14.560948702452977 0.00019153157295707533
2.0 0.3159921000430588 -13.496542057291018 0.00033327847751138043
3.0 0.9699002231923028 -12.179878295396868 0.0008381922093951129
4.0 0.9376177706240334 -11.889180340707291 0.000718170406930778
5.0 1.2869408165004568 -11.185897177320726 0.000917247765008762
6.0 1.44530840956372 -10.823726090062289 0.0009640702519852835
7.0 1.4873833475858673 -10.637449447257099 0.0009327555429439893
8.0 1.8830741144381036 -10.13511746238039 0.001124421522396725
9.0 1.9293301239540712 -10.025676536429525 0.001089291483245823
10.0 2.0819892356269314 -9.838197819372537 0.001130619799100848
