# U   E_kin    E_kin_sem   E_pot   E_pot_sem
1.0 -15.742561250884423 0.0003281449957069106 1.1816125484314461 0.0003448924129178434
2.0 -15.374385076913565 0.000559836899631815 1.877843019622547 0.0006024624161062513
3.0 -13.1700050295551 0.0012532695080194939 0.9901267341582303 0.0005633318957885151
4.0 -13.283211586801528 0.001230149524664065 1.3940312460942381 0.000769957370542586
5.0 -12.129051782995015 0.0014393136429794514 0.9431546056742908 0.0007323043575913127
6.0 -11.669476371277133 0.001509255472660664 0.8457502812148482 0.0007684911685903175
7.0 -11.55062705005675 0.001523684248636539 0.91317760279965 0.0008643801085883956
8.0 -10.623003476628604 0.0016264098196644196 0.487886014248219 0.000687744857392249
9.0 -10.523332329455396 0.0016205240467401531 0.49765579302587176 0.0007373799708592353
10.0 -10.249603893613259 0.0016444730109735023 0.4114060742407199 0.0007094621776852681
