# U   kappa   energy   sem
1.0 0.9887549117859091 -1.053456451988801 0.001777129533101954
2.0 1.0 -1.9601957201967555 0.0013194076606130366
3.0 0.9974258397709022 -2.878663579780006 0.0008246094227003868
4.0 0.9989481390870673 -3.293510630399866 0.0003376619440409305
5.0 1.0 -3.711074321438659 0.00014560399864577085
6.0 1.0010048964523275 -4.62658418407026 0.0006349429152023646
7.0 1.0 -5.544364906152347 0.001123502949962768
8.0 1.0 -6.4606195336508545 0.001616696063140596
9.0 1.0064716971656884 -7.381656456070924 0.002077978359883226
10.0 1.0159786092936591 -8.70337752538194 0.0025392944916808116
