# U   kappa   energy   sem
1.0 0.1472212221926646 -19.31673110161812 0.0003023006082132314
2.0 0.5873073487217454 -15.094708733987451 0.0009211024350980876
3.0 0.6570171042308742 -12.332834620358005 0.0008930736703040855
4.0 0.9404504481808437 -9.544600645125728 0.0011444306975822859
5.0 1.285168443810596 -7.122801816335506 0.0013882130847245751
6.0 1.7620637918361783 -4.942355162771665 0.0016834520088698903
7.0 2.380911136342497 -3.0699831823934933 0.0018977739538974844
8.0 2.4247338173936206 -2.616110548070241 0.0018738679450999442
9.0 3.2423240082525324 -1.5075832500605257 0.002045048586181468
10.0 3.507774708695202 -1.173740554006606 0.002088325503035754
