# U   E_kin    E_kin_sem   E_pot   E_pot_sem
1.0 -23.286382667222323 0.0006161399352141456 3.9749961254843145 0.0005493121556188414
2.0 -20.174024171520273 0.0015058688547098537 5.175590801149856 0.0007594517749075455
3.0 -19.468441929978873 0.0016377927824940198 7.218262467191601 0.0010842403541816755
4.0 -15.539909914326737 0.0021476293522961656 6.531417072865891 0.0011987355795639314
5.0 -12.816249370085357 0.0023702063294213393 6.113580177477815 0.0013671543539126249
6.0 -11.831214783396778 0.002460311313862634 6.528170978627672 0.0015890463578770327
7.0 -8.255961122088843 0.002623409768486705 4.553944006999125 0.0016088815387565753
8.0 -4.458127433244305 0.002578975373291212 2.1018022747156606 0.0013265653484740175
9.0 -3.7914528506948137 0.0025743315512795446 1.8377086614173228 0.0013422346801536735
10.0 -1.3629641033241324 0.0024126239446716174 0.3052793400824897 0.0006126369801318915
