# U   kappa   energy   sem
1.0 0.10265553322075485 -57.1645169119232 0.0002969434154360416
2.0 0.169138466955647 -51.26448533516388 0.0005159501085230798
3.0 0.28397225354491507 -45.964956132039646 0.00072898728761478
4.0 0.3444822523962869 -41.19486176384754 0.0008829560999366649
5.0 0.5663942533292815 -36.46460520941757 0.0013812479970189424
6.0 0.8235776252284318 -31.432805518539897 0.0020328830090196796
7.0 0.9352620716541953 -27.741401714985518 0.002163077310318083
8.0 1.0683472998918233 -24.23417239604953 0.0023242198668768877
9.0 1.2382720634182731 -20.825305498449616 0.0024775557849829933
10.0 1.4443534125758624 -17.567335502085562 0.002690013139022142
