# U   E_kin    E_kin_sem   E_pot   E_pot_sem
1.0 -63.29844729562524 0.0007714749853184051 6.133930383702038 0.0007371362256258347
2.0 -62.49344371536637 0.0011967904430475122 11.228958380202474 0.0013300462402444152
3.0 -60.67953206004865 0.0018395634881864078 14.714575928009 0.0017373065032301102
4.0 -59.564846015816045 0.002136653784706072 18.369984251968503 0.0021791332409505705
5.0 -55.0611793876453 0.003061520129118505 18.596574178227723 0.002284036194026315
6.0 -49.331392695142824 0.003842830041347315 17.898587176602923 0.002361836348413334
7.0 -46.773705302037136 0.004120821988185676 19.03230358705162 0.002625769926876249
8.0 -43.7238411874506 0.004397859576328093 19.489668791401076 0.0028474755566183546
9.0 -39.78973069530002 0.004668759139798928 18.964425196850392 0.0030333480971121113
10.0 -35.17797667193931 0.004943549102398444 17.610641169853768 0.0031552050017845785
