# U   E_kin   E_pot
1.0 -30.94493798070912 12.274799900012498
2.0 -29.4814997203804 22.532452193475816
3.0 -24.83626172157081 29.756159730033747
4.0 -24.302888345414875 39.309552805899266
5.0 -19.274433443660513 45.875431821022374
6.0 -19.012041720877697 54.88936857892764
7.0 -16.828646604875924 62.59300699912511
8.0 -16.632788175933893 71.40102187226597
9.0 -15.782797599386475 79.6640461192351
10.0 -10.491017247704319 84.03548431446069
