# U   kappa   energy   sem
1.0 0.9192384252648863 -12.982335779970105 0.0003342697190339633
2.0 0.9419366009601479 -12.571665349176715 0.00029500965823439336
3.0 0.9664621794031176 -12.183690808782876 0.00026401909908444203
4.0 0.9706539258970849 -11.847360422311004 0.00023562570852356251
5.0 0.9986247892815149 -11.497754801922266 0.00022407014477917594
6.0 1.0006362815897438 -11.186527960359216 0.000219241532795056
7.0 1.007743822652141 -10.876249617141925 0.00022963839971686722
8.0 1.0322682466364004 -10.585931051195375 0.00024825883474816757
9.0 1.0422935799785922 -10.30100760224521 0.0002757147058885562
10.0 1.055986158353996 -10.032680532491725 0.0003072638696908672
