# N  count
0 1768
1 18771
2 85985
3 262247
4 579957
5 998192
6 1381713
7 1590482
8 1550116
9 1298339
10 951295
11 613695
12 350934
13 178616
14 82644
15 34692
16 13564
17 4904
18 1553
19 427
20 84
21 22
