# U   E_kin    E_kin_sem   E_pot   E_pot_sem
1.0 -9.841827061698693 0.0014151133380354783 0.48813867153321167 0.0002595131098711706
2.0 -15.266670336677244 0.0017803272165232455 3.5785682857928554 0.0011705731842208739
3.0 -15.20410056480846 0.0017732308545624694 5.308635034124147 0.0017425328184637818
4.0 -15.00610117111396 0.0017593432822459638 6.809367265818355 0.0022565594523145257
5.0 -14.627321416421678 0.0017322837529575611 7.952848053798655 0.00269538740135483
6.0 -13.272507126469623 0.0016415314030704007 7.260642733931651 0.002691393561770634
7.0 -12.562046424735842 0.001597815984966271 7.211982700432489 0.0028395290941880323
8.0 -11.740608293198799 0.0015392557481923497 6.750956226094347 0.0028486820796398554
9.0 -11.105012426237984 0.0014957998928377381 6.407456188595285 0.0029041498742401342
10.0 -10.584812064562646 0.0014706184360027087 6.17051198720032 0.002976609484167316
