# U   kappa   energy   sem
1.0 0.5181137058140953 -3.081353288741091 0.0005860836550099743
2.0 0.20608961585479163 -6.853045875074633 0.0005986014456462699
3.0 0.20891800925796808 -9.386939123761653 0.0009545506126675751
4.0 0.2171168863904291 -12.473946158389932 0.0013383346196669914
5.0 0.2311144996567065 -15.109992481763289 0.0016888656875815066
6.0 0.29290052900087216 -14.359050526534155 0.0017228646908182264
7.0 0.33192696475216843 -14.668738578791967 0.0018560951810559245
8.0 0.37942997176602217 -14.379120951604468 0.0019148739267259567
9.0 0.42046479354776517 -14.444712112182566 0.0020101094122163933
10.0 0.45939972982490374 -14.112518385866766 0.002080687285900077
